x,y,z
-0.10212683910389299,-0.12514370957455317,-0.1295507754777226
-0.10209862547067708,-0.12512413604831885,-0.1293044992969276
-0.10207070373629881,-0.12510476503019516,-0.1290607710946352
-0.10204305523840368,-0.12508558357296318,-0.12881942796756524
-0.10201566235223926,-0.12506657944925212,-0.12858031606964346
-0.10198850839207103,-0.12504774108314554,-0.12834328975146203
-0.10196157752269021,-0.12502905748878868,-0.1281082107878332
-0.10193485467970516,-0.12501051821509002,-0.1278749476820156
-0.10190832549749552,-0.12499211329573838,-0.12764337503682646
-0.10188197624386362,-0.12497383320386676,-0.1274133729842158
-0.10185579376054965,-0.12495566881078403,-0.12718482666602451
-0.10182976540888705,-0.12493761134827272,-0.12695762575961175
-0.10180387901996789,-0.12491965237401571,-0.1267316640428488
-0.1017781228487665,-0.124901783739769,-0.12650683899366647
-0.10175248553173713,-0.12488399756194454,-0.12628305141992488
-0.10172695604745721,-0.12486628619430615,-0.12606020511587007
-0.10170152367993682,-0.12484864220251495,-0.12583820654186273
-0.10167617798425542,-0.12483105834028953,-0.12561696452442253
-0.10165090875422206,-0.12481352752696981,-0.12539638997393404
-0.10162570599178436,-0.1247960428262942,-0.12517639561761906
-0.10160055987793697,-0.12477859742621698,-0.12495689574559689
-0.10157546074490063,-0.12476118461960728,-0.12473780596803612
-0.10155039904936072,-0.12474379778568295,-0.12451904298155428
-0.10152536534656813,-0.12472643037204277,-0.12430052434314508
-0.10150035026511693,-0.12470907587716819,-0.12408216825001338
-0.10147534448222216,-0.124691727833272,-0.12386389332377523
-0.10145033869932739,-0.1246743797893758,-0.12364561839753709
-0.10142532361787619,-0.12465702529450122,-0.12342726230440539
-0.1014002899150836,-0.12463965788086104,-0.12320874366599618
-0.10137522821954369,-0.12462227104693671,-0.12298998067951435
-0.10135012908650735,-0.12460485824032701,-0.12277089090195357
-0.10132498297265996,-0.1245874128402498,-0.1225513910299314
-0.10129978021022226,-0.12456992813957418,-0.12233139667361644
-0.1012745109801889,-0.12455239732625446,-0.12211082212312793
-0.1012491652845075,-0.12453481346402905,-0.12188958010568772
-0.10122373291698711,-0.12451716947223784,-0.1216675815316804
-0.10119820343270719,-0.12449945810459945,-0.12144473522762557
-0.10117256611567782,-0.12448167192677499,-0.121220947653884
-0.10114680994447643,-0.12446380329252828,-0.12099612260470168
-0.10112092355555727,-0.12444584431827127,-0.12077016088793871
-0.10109489520389467,-0.12442778685575996,-0.12054295998152594
-0.1010687127205807,-0.12440962246267723,-0.12031441366333467
-0.1010423634669488,-0.12439134237080561,-0.120084411610724
-0.10101583428473916,-0.12437293745145397,-0.11985283896553486
-0.10098911144175411,-0.1243543981777553,-0.11961957585971728
-0.10096218057237329,-0.12433571458339845,-0.11938449689608843
-0.10093502661220506,-0.12431687621729187,-0.11914747057790702
-0.10090763372604064,-0.12429787209358083,-0.11890835867998521
-0.10087998522814551,-0.12427869063634883,-0.11866701555291526
-0.10085206349376724,-0.12425931961822513,-0.11842328735062287
-0.10082384986055133,-0.1242397460919908,-0.11817701116982787
-0.1007953245183322,-0.12421995631412007,-0.11792801408803276
-0.10076646638549619,-0.1241999356590057,-0.11767611208429794
-0.10073725296978557,-0.12417966852239021,-0.11742110882420276
-0.10070766021101415,-0.1241591382122481,-0.11716279428691356
-0.10067766230267823,-0.12413832682502636,-0.11690094320803003
-0.10064723148884853,-0.12411721510473607,-0.11663531330665906
-0.10061633783198987,-0.12409578228187451,-0.11636564325871732
-0.10058494894643724,-0.12407400588852138,-0.11609165037045104
-0.10055302969111046,-0.12405186154515598,-0.11581302789614782
-0.10052054181360513,-0.12402932271374133,-0.1155294419314152
-0.10048744353597,-0.1240063604103526,-0.11524052779743986
-0.10045368907014654,-0.12398294286900777,-0.11494588581127084
-0.10041922804804543,-0.12395903514627685,-0.11464507631096982
-0.1003840048473413,-0.12393459865354431,-0.11433761377048794
-0.10034795778897207,-0.12390959060026523,-0.11402295979465543
-0.10031101817559744,-0.12388396332688496,-0.11370051472590689
-0.10027310913128377,-0.12385766349985762,-0.11336960751591696
-0.10023414419055132,-0.12383063113278142,-0.11302948340942354
-0.10019402556834456,-0.12380279838617131,-0.11267928884283844
-0.10015264201954693,-0.12377408808247306,-0.1123180527599976
-0.10010986616445552,-0.1237444118505812,-0.11194466326628962
-0.10006555111071766,-0.1237136677822694,-0.11155783814161428
-0.10001952613565074,-0.12368173743675125,-0.11115608715144855
-0.09997159109449957,-0.12364848196134559,-0.11073766323664747
-0.09992150907181462,-0.12361373699328741,-0.11030049836748831
-0.09986899656412782,-0.12357730584884842,-0.10984211784846389
-0.09981371011937984,-0.12353895025428901,-0.10935952369413893
-0.09975522776703212,-0.12349837746278913,-0.10884903253300829
-0.09969302257555826,-0.12345522190965966,-0.10830604479142365
-0.09962642392728004,-0.12340901834632313,-0.10772470666249304
-0.09955455890190892,-0.12335916117448471,-0.10709739844431035
-0.09947625998758804,-0.12330484041962657,-0.10641392895167981
-0.09938991265368319,-0.12324493598291271,-0.10566020498237813
-0.09929318816732366,-0.12317783227965083,-0.10481589907864396
-0.0991825382028269,-0.12310106761888097,-0.10385003798401543
-0.09905213684119814,-0.12301060020359633,-0.10271176738034549
-0.0988913253469698,-0.12289903541585803,-0.10130804740130504
-0.09867691682465665,-0.12275028708542347,-0.09943648014865474
-0.09833835576297821,-0.12251540653062322,-0.09648118812376773
